SupplierName,Dept,Service,NatAnal,ModuleName,Company,Account,Site,Section,Structure,Intercompany,Nature,Major,Minor,GroupSectionAndDescription,LedgerName,Source,Category,Supplier Number,SupplierName_Fake,DocumentCurrency,Ledgercurrency,AmoutinEUR,DebitEnteredAmount,CreditEnteredAmount,DebitAccountedAmount,CreditAccountedAmount,DateCreated,POOrderedDate,DueDate
QIKKN UND INC,DIR,ACC,Internal,PA,Meridian Solutions Corp,6211000,MAN,14340A,7950,200,N88_CESSIONS_DORD,MAJ15_Depreciation_F,MIN0520,1456 ISIT Charge back central,MX_839_PL_USD,MICH_EPW_GLJRNLINTF,GL_Intercompany_Reversal,41,Elite Engineering Services,BRL,USD,229216.83,440.56,0,574.12,0,2024/01/09,2025/08/12,2025/08/19
ULAYD QQN INC,BSS,Group EUX,Travels,INV,Quantum Dynamics Group,6458703,CGR,14320H,7950,415,N70_DEPRECIATION_F,MAJ08_Industrial_Supplies_V,MIN0410,1458 ISIT BSS Entreprises Services (ES),MX_839_PL_MXN,,GL_Legal_Adjustments,43,Essential Services Co,EUR,MXN,674697.41,808.24,0,554.13,0,2024/11/01,2025/04/19,2025/07/31
NJNMJ JDY INC,BSS,DIR,Maintenance & Rental,INV,Quantum Dynamics Group,6468201,MTC,98158Z,7956,0,N30_ENERGY_V,MAJ16_FA_Disposal,MIN2005,1456 ISIT Charge back central,BR_414_PL_BRL,Receivables,Write-off,17,Certified Components Inc,EUR,BRL,741463.55,422.23,0,759.26,0,2024/03/08,2025/02/13,2025/08/10
HFSOU GPS INC,IN,Maestro,Maintenance & Rental,GL,Quantum Dynamics Group,6447707,DDD,96500N,7956,511,N81_MASA_F,MAJ05_Maintenance_V,MIN0435,1440 ISIT Infra Data centre & applications platforms (DAP),MX_839_PL_MXN,CLL F189 INTEGRATED RCV,Misc Receipts,20,Reliable Suppliers Group,GBP,BRL,434087.79,576.19,0,102.07,0,2023/09/13,2025/08/01,2025/08/11
IHQJF NQM INC,BSS,Security,Invoices sent,GL,Meridian Solutions Corp,6237000,LAV,96500N,7950,723,N93_ENERGY_V,MAJ15_Depreciation_F,MIN0840,1444 ISIT Infra Service Line NET (Network),,CLL F189 INTEGRATED RCV,Depreciation,3,Superior Technologies Inc,USD,BRL,507766.12,427.17,0,896.42,0,2023/09/12,2024/04/21,2025/04/22
RZNSN VAT INC,IN,OPEN,Taxes,GL,TechnoGlobal Industries,6447704,GRU,14320H,7950,200,N97_FE_F,MAJ21_Allocation_DORD,MIN1510,1466 ISIT BSS Supply Chain (SC),CA_407_PL_CAD,MassAllocation,GL_Allocation_Auto_Revers,17,Mega Distribution Group,USD,MXN,18730.98,163.76,0,465.65,0,2024/09/17,2024/12/24,2025/01/03
SSCYP WBG INC,DIR,OTHER OP,Telecom Data,INV,Apex Innovations Ltd,9840205,RES,96501C,7950,723,N99_DEPRECIATION_F,MAJ04_Salary_Labor_F,MIN0210,9828 Other operational expenses & revenue non allocated,US_415_PL_USD,Payables,GL_Accrual_Auto_Reversal,24,Superior Technologies Inc,MXN,MXN,571315.81,254.82,0,607.8,0,2023/10/02,2025/10/28,2025/10/28
NBAAC XUX INC,IN,SC,Training,PA,Meridian Solutions Corp,6438201,MAN,14320H,7956,407,N10_MASA_V,MAJ08_Industrial_Supplies_V,MIN0950,9815 Expenses to be reinvoiced or reallocated,MX_839_PL_MXN,Receivables,GL_Accrual_Auto_Reversal,50,Essential Materials Ltd,MXN,BRL,808470.99,77.46,0,554.67,0,2025/07/06,2025/09/06,2025/09/14
PUUVV DCB INC,IN,GOSM,Maintenance & Rental,PO,Apex Innovations Ltd,6419999,MTC,14340A,7950,0,N21_FE_V,MAJ05_Maintenance_V,MIN0970,1464 ISIT BSS Research & development (RD),MX_839_PL_USD,CLL F189 INTEGRATED RCV,REC,27,Reliable Manufacturing Group,GBP,MXN,689750.61,307.1,0,544.86,0,2023/05/18,2024/11/29,2025/02/16
TKGZK KDB INC,MQ,Maestro,Taxes,INV,Nexus Enterprise Holdings,6447201,RIO,96500N,7950,200,N87_FE_F,MAJ09_General_Overhead_F,MIN0840,1444 ISIT Infra Service Line NET (Network),US_415_PL_USD,,GL_Intercompany_Reversal,42,Premier Logistics Co,EUR,MXN,954696.41,931.97,0,899.93,0,2025/06/28,2025/09/26,2025/10/06
BMQJK QEJ INC,IN,NET,Invoices sent,GL,Apex Innovations Ltd,6437210,PP1,14520A,7950,589,N97_FE_F,MAJ09_General_Overhead_F,MIN0230,1466 ISIT BSS Supply Chain (SC),BR_414_PL_BRL,Assets,Debit Memos,40,Universal Supply Chain,USD,USD,542310.94,933.09,0,392.01,0,2023/12/12,2025/07/09,2025/10/22
YLKVJ FOT INC,MQ,MF,Taxes,PA,TechnoGlobal Industries,6250000,RES,98158Z,7950,0,N88_CESSIONS_DORD,MAJ21_Allocation_DORD,MIN0320,1464 ISIT BSS Research & development (RD),MX_839_PL_MXN,MassAllocation,GL_Allocation,2,Quality Components Ltd,USD,USD,196801.81,205.61,0,561.5,0,2024/06/08,2025/04/27,2025/10/08
FKPBU RYS INC,IN,D1 DAP,Travels,GL,Quantum Dynamics Group,6042000,RIO,14480A,7950,589,N87_FE_F,MAJ15_Depreciation_F,MIN1510,1436 ISIT Infra Service Line EUX (End User Experience),MX_839_PL_MXN,MICH_CAW_GLJRNLINTF,Debit Memos,2,Optimal Resources Inc,EUR,MXN,330691.44,753.72,0,184.88,0,2023/10/21,2024/05/31,2025/10/18
TWABH JKQ INC,IN,ACC,Telecom Voice,INV,Quantum Dynamics Group,9840201,MXA,14560B,7956,200,N24_FE_MISC_INCOME_F,MAJ21_Allocation_DORD,MIN2071,9828 Other operational expenses & revenue non allocated,,Projects,GL_Intercompany_Reversal,17,Elite Engineering Services,USD,MXN,475584.78,98.66,0,994.3,0,2023/03/11,2024/02/11,2024/04/22
GYTRC WED INC,BSS,DIR,Internal,GL,Meridian Solutions Corp,6417999,CGR,14520A,7950,415,N10_MASA_V,MAJ15_Depreciation_F,MIN2071,1444 ISIT Infra Service Line NET (Network),,Spreadsheet,Freight,43,First Class Manufacturing,MXN,USD,91204.32,618.51,0,858.3,0,2024/08/15,2025/02/10,2025/09/04
CKFQC ONI INC,BSS,Communications,Travels,PA,Meridian Solutions Corp,6467702,DDD,14680C,7950,409,N88_CESSIONS_DORD,MAJ16_FA_Disposal,MIN2071,1440 ISIT Infra Data centre & applications platforms (DAP),CA_407_PL_CAD,CLL F189 INTEGRATED RCV,Receiving,6,First Class Manufacturing,USD,USD,6676.66,483.68,0,975.86,0,2023/08/09,2025/08/26,2025/10/31
NJNMJ JDY INC,BSS,DAP,Telecom Voice,GL,TechnoGlobal Industries,6466202,GRU,14660A,7956,409,N21_FE_V,MAJ20_Allocation_FE_F,MIN0420,1470 ISIT BSS IS Region managers (ISRM),CA_407_PL_CAD,Payables,GL_Payroll,12,Advanced Systems Group,GBP,MXN,387523.55,700.1,0,483.73,0,2024/02/11,2025/01/06,2025/02/28
UJISA PZT INC,MQ,DIR,External Resources,INV,Nexus Enterprise Holdings,6076700,GRU,14400A,7950,200,N97_FE_F,MAJ06_Utilities_Energy_V,MIN1110,1458 ISIT BSS Entreprises Services (ES),CA_407_PL_CAD,,Usage Cost,47,Innovation Industries Corp,GBP,BRL,152492.01,516.74,0,529.23,0,2025/07/09,2025/09/04,2025/10/03
BVGPR CNF INC,BSS,DIR,Other expenses,AP,TechnoGlobal Industries,6447703,RES,14480B,7956,409,N70_DEPRECIATION_F,MAJ15_Depreciation_F,MIN0960,1444 ISIT Infra Service Line NET (Network),BR_414_PL_BRL,Payables,Receiving,22,First Class Manufacturing,USD,CAD,707615.94,306.2,0,665.88,0,2023/01/21,2025/08/08,2025/08/10
IHQJF NQM INC,BSS,ES,Depreciation,AP,Nexus Enterprise Holdings,6211011,MXA,14640A,7950,415,N11_MASA_F,MAJ20_Allocation_MASA_F,MIN2071,1472 Allocation unpaid intra group invoices by companies from South America,US_415_PL_USD,Assets,GL_Allocation,1,Precision Parts Corp,CAD,MXN,281461.22,633.15,0,365.61,0,2024/12/02,2025/02/23,2025/03/19
CKYLF OPF INC,DIR,NET,Depreciation,PA,Apex Innovations Ltd,6467201,LAV,14580A,7950,200,N30_ENERGY_V,MAJ20_Cascade_ENERGY_F,MIN0918,1436 ISIT Infra Service Line EUX (End User Experience),CA_407_PL_CAD,Projects,GL_Supplier,8,Prime Logistics Partners,GBP,USD,876881.77,378.95,0,791.42,0,2024/02/24,2025/04/08,2025/09/01
IWWRG GWM INC,IN,RD,Purchases,GL,TechnoGlobal Industries,6110000,PP1,14720A,7950,407,N11_MASA_F,MAJ09_Travel_F,MIN2040,1432 ISIT Region Direction,,MICH_EPW_GLJRNLINTF,GL_Financial_AutoReversal,20,Excellence Manufacturing,GBP,CAD,520934.76,567.03,0,159.66,0,2023/03/09,2023/07/02,2023/09/05
OWPAZ YVR INC,MQ,MF,Invoices sent,GL,Quantum Dynamics Group,6221000,RES,14620A,7950,409,N10_MASA_V,MAJ05_Maintenance_V,MIN1110,1452 ISIT Infra Management,,Manual,GL_Intercompany_Reversal,31,Dynamic Solutions Group,CAD,MXN,811752.95,191.07,0,125.29,0,2025/01/08,2025/05/10,2025/05/27
FAMWK ODE INC,IN,OPEN,Capitalized production (PRIM),INV,Apex Innovations Ltd,6805000,MAN,14620A,7956,567,N99_DEPRECIATION_F,MAJ20_Cascade_ENERGY_F,MIN0945,1468 ISIT BSS Management,CA_407_PL_CAD,Payables,GL_Adjustment,8,Prime Components Group,BRL,MXN,375778.93,535.08,0,109.91,0,2024/06/10,2025/06/18,2025/07/25
YXSHL ZEO INC,MQ,ES,Capitalized production (PRIM),AP,TechnoGlobal Industries,6738000,RIO,14480B,7956,0,N23_FE_TRAVEL_F,MAJ20_Cascade_ENERGY_F,MIN0950,1472 Allocation unpaid intra group invoices by companies from South America,MX_589_PL_MXN,Projects,GL_Financial_AutoReversal,23,Integrated Manufacturing,EUR,BRL,847169.25,945.26,0,85.33,0,2025/10/29,2025/10/31,2025/10/31
RHOSP VPN INC,DIR,Infra - Projects,Telecom Data,INV,TechnoGlobal Industries,6250300,RIO,14340A,7956,796,N87_FE_F,MAJ20_Cascade_FE_F,MIN2103,9650 Other operational expenses & revenues,US_415_PL_USD,Cost Management,GL_Financial_AutoReversal,43,Certified Distribution Corp,MXN,CAD,544504.69,287.34,0,32.29,0,2023/06/07,2024/06/16,2025/01/29
ULAYD QQN INC,IN,Group EC,Internal,INV,TechnoGlobal Industries,9840201,MAN,14640A,7956,407,N22_FE_F,MAJ20_Cascade_DEPRECIATION_F,MIN1011,1468 ISIT BSS Management,US_415_PL_USD,Receivables,Depreciation,13,Essential Materials Ltd,GBP,BRL,945224.22,412.41,0,379.21,0,2025/10/14,2025/10/29,2025/11/01
FUVJQ CXB INC,MQ,MASS ALLOC,Travels,INV,TechnoGlobal Industries,6448704,MXA,14360A,7956,200,N88_CESSIONS_DORD,MAJ20_Cascade_FE_F,MIN1120,1460 ISIT BSS Methods & Sales (MS),MX_589_PL_MXN,Recurring,Inventory,49,Elite Engineering Services,CAD,USD,683492.4,387.02,0,339.18,0,2023/07/07,2024/04/18,2025/06/12
ZTMRZ ONO INC,DIR,Maestro,Telecom Data,GL,Nexus Enterprise Holdings,6438000,LAV,14340A,7956,723,N97_FE_F,MAJ05_Maintenance_F,MIN0210,1448 ISIT Infra Transverse operations (GOM),MX_839_PL_USD,MICH_CAW_GLJRNLINTF,GL_Payroll_Auto_Reversal,43,Dynamic Solutions Group,BRL,MXN,29050.33,454.33,0,798.12,0,2023/07/09,2025/03/19,2025/08/29
DTWOA EUS INC,BSS,ES,Travels,GL,Quantum Dynamics Group,6417100,MAN,14600A,7950,723,N21_FE_V,MAJ07_Transportation_V,MIN0918,1440 ISIT Infra Data centre & applications platforms (DAP),BR_414_PL_BRL,Projects,GL_Adjustment,47,Innovation Systems Ltd,BRL,USD,720723.69,470.7,0,120.04,0,2025/03/09,2025/03/20,2025/07/23
GJDXG BUB INC,IN,IN DIR,Salaries,AP,Quantum Dynamics Group,6467200,LAV,14680C,7956,0,N87_FE_F,MAJ09_General_Overhead_V,MIN1510,1472 Allocation unpaid intra group invoices by companies from South America,MX_839_PL_USD,MICH_CAW_GLJRNLINTF,Sales Invoices,11,Integrated Manufacturing,GBP,BRL,704252.39,935.26,0,602.23,0,2025/07/08,2025/08/05,2025/10/29
AFLZW ZXA INC,MQ,DIR,Telecom Voice,GL,Quantum Dynamics Group,6448101,RES,14360A,7956,796,N94_ENERGY_F,MAJ05_Maintenance_V,MIN0918,1434 ISIT Method & Quality,MX_589_PL_MXN,Assets,GL_AutoPrepa,8,Dynamic Industries Inc,GBP,USD,722336.14,554.04,0,292.71,0,2023/07/16,2024/03/31,2024/04/28
RUZZH SSU INC,MQ,OPEN,Invoices sent,PO,TechnoGlobal Industries,6878100,PP1,14440A,7950,415,N93_ENERGY_V,MAJ16_Restructuring,MIN0916,1434 ISIT Method & Quality,,Cost Management,Adjustment,3,Leading Products Corp,EUR,CAD,846318.26,102.61,0,72.99,0,2025/09/29,2025/10/13,2025/10/26
LNCGC UOS INC,IN,MF,External Resources,AP,Quantum Dynamics Group,6135000,GRU,14562Z,7950,567,N23_FE_TRAVEL_F,MAJ09_General_Overhead_F,MIN0917,1444 ISIT Infra Service Line NET (Network),MX_839_PL_USD,Spreadsheet,GL_Legal_Adjustments,5,Elite Distribution Corp,BRL,MXN,260591.48,125.52,0,978.26,0,2023/12/13,2025/05/06,2025/10/07
BVXLI YHS INC,MQ,EC,Internal,PA,Nexus Enterprise Holdings,9830206,RIO,14680C,7956,415,N30_ENERGY_V,MAJ06_Utilities_Energy_V,MIN0950,1444 ISIT Infra Service Line NET (Network),CA_407_PL_CAD,,Interface,31,Integrated Manufacturing,USD,MXN,910366.98,52.95,0,933.61,0,2025/09/23,2025/10/13,2025/10/27
SVBSF AZV INC,IN,MASS ALLOC,Other expenses,GL,Meridian Solutions Corp,6437714,GRU,98281C,7950,200,N93_ENERGY_V,MAJ16_FA_Disposal,MIN0917,1464 ISIT BSS Research & development (RD),CA_407_PL_CAD,MICH_EPW_GLJRNLINTF,GL_Payroll,47,Prime Components Group,USD,CAD,528828.02,943.04,0,833.69,0,2025/07/26,2025/10/10,2025/10/19
ZTOPT WRO INC,BSS,Security,Telecom Data,INV,Quantum Dynamics Group,6449100,DDD,96500Q,7956,415,N88_CESSIONS_DORD,MAJ20_Cascade_ENERGY_V,MIN0965,1462 ISIT BSS Production Sytems (PS),BR_414_PL_BRL,,GL_Intercompany,31,First Class Services Ltd,BRL,MXN,158391.13,146.2,0,796.46,0,2025/06/06,2025/09/01,2025/10/05
VWKWB ZAI INC,BSS,SC,Purchases,PA,Nexus Enterprise Holdings,6448701,GRU,14600A,7950,589,N23_FE_TRAVEL_F,MAJ09_General_Overhead_F,MIN2072,1434 ISIT Method & Quality,MX_839_PL_USD,Projects,GL_Adjustment,37,Essential Materials Ltd,BRL,MXN,184001.51,987.93,0,930.37,0,2024/04/11,2025/09/12,2025/09/29
IWWRG GWM INC,DIR,AFFILIATE,Invoices sent,AP,Quantum Dynamics Group,6040000,RIO,14400A,7950,407,N21_FE_V,MAJ20_Cascade_ENERGY_F,MIN0970,1462 ISIT BSS Production Sytems (PS),US_415_PL_USD,Projects,GL_Equity,23,Integrated Manufacturing,EUR,CAD,135825.82,988.5,0,552.08,0,2023/06/18,2025/02/16,2025/04/09
HFSOU GPS INC,MQ,MQ,Salaries,GL,Apex Innovations Ltd,6180000,GRU,14320F,7956,511,N23_FE_TRAVEL_F,MAJ20_Allocation_MASA_F,MIN0925,9828 Other operational expenses & revenue non allocated,BR_414_PL_BRL,Manual,GL_AutoPrepa,21,Essential Materials Ltd,MXN,MXN,91431.63,799.69,0,938.48,0,2024/02/05,2024/05/08,2025/08/15
XTCMC IUK INC,DIR,D1 DAP,Depreciation,AP,TechnoGlobal Industries,6270100,MXA,14680C,7956,407,N10_MASA_V,MAJ09_General_Overhead_V,MIN1110,1470 ISIT BSS IS Region managers (ISRM),US_415_PL_USD,Cost Management,Write-off,17,Certified Distribution Corp,USD,USD,508846.48,24.24,0,404.18,0,2024/11/14,2024/12/13,2025/01/19
FCBQO AKJ INC,DIR,RD,External Resources,PA,Quantum Dynamics Group,6310293,MAN,14600A,7950,589,N11_MASA_F,MAJ16_Restructuring,MIN1010,1448 ISIT Infra Transverse operations (GOM),CA_407_PL_CAD,Recurring,Purchase Invoices,11,Optimal Distribution Co,USD,CAD,614903.35,286.41,0,42.0,0,2025/09/14,2025/10/02,2025/10/31
LXZUG ARL INC,IN,OPEN,Training,GL,TechnoGlobal Industries,6735000,CGR,14580A,7950,511,N22_FE_F,MAJ21_Allocation_DORD,MIN1011,1448 ISIT Infra Transverse operations (GOM),MX_839_PL_USD,CLL F189 INTEGRATED RCV,GL_Intercompany,26,Global Tech Solutions,BRL,CAD,398680.2,489.31,0,295.26,0,2025/10/25,2025/10/31,2025/11/01
HJDBJ YHW INC,IN,Security,Training,PA,Quantum Dynamics Group,6447710,LAV,96500N,7956,0,N70_DEPRECIATION_F,MAJ16_Restructuring,MIN0845,1436 ISIT Infra Service Line EUX (End User Experience),,Spreadsheet,Interface,1,Certified Distribution Corp,EUR,MXN,836977.62,305.35,0,84.51,0,2023/10/30,2024/03/18,2024/06/08
AOAEL OMJ INC,MQ,NET,Travels,INV,TechnoGlobal Industries,6458707,MXA,98158Z,7950,409,N24_FE_MISC_INCOME_F,MAJ21_Allocation_DORD,MIN2043,1470 ISIT BSS IS Region managers (ISRM),MX_839_PL_USD,,GL_Supplier_Auto_Reversal,37,Mega Distribution Group,EUR,USD,786150.07,714.2,0,926.46,0,2025/06/09,2025/08/16,2025/08/21
QGQYC AUJ INC,DIR,EUX,Other expenses,GL,Apex Innovations Ltd,6870100,LAV,14640A,7956,0,N30_ENERGY_V,MAJ20_Cascade_MASA_F,MIN0955,1440 ISIT Infra Data centre & applications platforms (DAP),MX_589_PL_MXN,Assets,GL_Supplier_Auto_Reversal,16,Integrated Solutions Ltd,CAD,MXN,267217.08,845.56,0,621.42,0,2024/05/21,2025/05/13,2025/09/04
NHDIN KKE INC,BSS,NET,Taxes,PA,Quantum Dynamics Group,6251000,RIO,14400C,7956,796,N70_DEPRECIATION_F,MAJ06_Utilities_Energy_V,MIN0950,1456 ISIT Charge back central,,MassAllocation,GL_Allocation_Auto_Revers,13,Progressive Technologies,MXN,MXN,218518.73,827.82,0,708.83,0,2024/03/12,2025/09/04,2025/09/10
CDZPR IJJ INC,BSS,Group EUX,Training,GL,Meridian Solutions Corp,6233000,MAN,14400A,7950,589,N87_FE_F,MAJ09_General_Overhead_V,MIN0923,1440 ISIT Infra Data centre & applications platforms (DAP),MX_589_PL_MXN,,GL_AutoPrepa,20,Dynamic Industries Inc,CAD,BRL,30532.64,280.65,0,934.07,0,2023/05/21,2025/10/03,2025/10/08
IPIUW HAI INC,DIR,DEV,Travels,PA,Apex Innovations Ltd,6312100,MXA,14661C,7950,511,N21_FE_V,MAJ21_Allocation_DORD,MIN0230,1464 ISIT BSS Research & development (RD),MX_589_PL_MXN,MICH_CAW_GLJRNLINTF,GL_Adjustment,26,Leading Edge Technologies,EUR,CAD,236654.93,811.14,0,903.41,0,2025/08/31,2025/10/24,2025/10/31
NHDIN KKE INC,DIR,MASS ALLOC,Training,AP,Nexus Enterprise Holdings,6117000,DDD,14520A,7950,567,N87_FE_F,MAJ09_General_Overhead_V,MIN2005,1440 ISIT Infra Data centre & applications platforms (DAP),,Manual,GL_AutoPrepa,12,Mega Distribution Group,GBP,MXN,21989.7,807.01,0,251.23,0,2024/07/02,2025/04/20,2025/05/24
BEJQL UYB INC,IN,OPEN,Salaries,INV,Meridian Solutions Corp,6261700,MTC,14660A,7950,415,N22_FE_F,MAJ09_General_Overhead_F,MIN0415,1472 Allocation unpaid intra group invoices by companies from South America,US_415_PL_USD,Recurring,Usage Cost,23,Reliable Suppliers Group,BRL,MXN,382200.08,310.07,0,328.88,0,2025/01/06,2025/08/30,2025/10/26
XTCMC IUK INC,BSS,D1 DAP,Telecom Voice,GL,Apex Innovations Ltd,6731000,PP1,14700A,7950,407,N97_FE_F,MAJ20_Allocation_FE_F,MIN0923,1452 ISIT Infra Management,BR_414_PL_BRL,CLL F189 INTEGRATED RCV,Purchase Invoices,34,Innovation Industries Corp,BRL,USD,443.35,78.11,0,783.72,0,2023/04/16,2024/09/15,2024/11/30
FCRRN NXG INC,BSS,MQ,Other expenses,GL,TechnoGlobal Industries,6436714,MXA,14700A,7956,723,N11_MASA_F,MAJ02_Prod_Maint_Wages_V,MIN2076,9828 Other operational expenses & revenue non allocated,MX_839_PL_MXN,Recurring,Adjustment,7,Quality Components Ltd,MXN,MXN,817363.66,496.56,0,453.95,0,2024/11/22,2025/09/13,2025/10/17
WGDRN PEA INC,MQ,EUX,Maintenance & Rental,INV,Apex Innovations Ltd,6417704,MAN,14580A,7956,796,N88_CESSIONS_DORD,MAJ15_Depreciation_F,MIN0937,9650 Other operational expenses & revenues,BR_414_PL_BRL,Payables,GL_Supplier,3,Mega Solutions LLC,GBP,USD,922531.94,996.32,0,356.86,0,2024/12/20,2025/03/02,2025/07/18
FPKGM MRB INC,BSS,DEV,External Resources,PA,Nexus Enterprise Holdings,6447710,GRU,14600A,7956,567,N91_MASA_F,MAJ02_Prod_Maint_Wages_V,MIN0410,1432 ISIT Region Direction,CA_407_PL_CAD,MICH_CAW_GLJRNLINTF,Freight,4,Mega Distribution Group,USD,MXN,4149.46,128.95,0,273.6,0,2024/11/30,2025/08/06,2025/08/24
ORGZR MOG INC,DIR,OPEN,Travels,GL,Quantum Dynamics Group,6418706,GRU,14440A,7956,589,N94_ENERGY_F,MAJ09_General_Overhead_V,MIN0610,1466 ISIT BSS Supply Chain (SC),US_415_PL_USD,,GL_Financial,40,Optimal Resources Inc,MXN,USD,660775.45,322.54,0,265.03,0,2024/05/25,2025/03/27,2025/09/11
MLWUG XPO INC,IN,NET,Telecom Voice,PA,Apex Innovations Ltd,6418203,RIO,14480B,7956,415,N97_FE_F,MAJ03_Temporary_Other_Labor_V,MIN0916,1434 ISIT Method & Quality,BR_414_PL_BRL,Cost Management,GL_Supplier,16,Advanced Systems Group,USD,CAD,659288.24,314.68,0,186.75,0,2023/04/19,2025/07/22,2025/07/22
CBZHS FUA INC,DIR,MF,Other expenses,GL,Apex Innovations Ltd,6437000,RIO,96501B,7956,796,N22_FE_F,MAJ20_Cascade_DEPRECIATION_F,MIN0810,1462 ISIT BSS Production Sytems (PS),MX_589_PL_MXN,Projects,GL_Financial_AutoReversal,29,Elite Distribution Corp,USD,CAD,924267.15,923.01,0,415.2,0,2023/11/04,2025/05/09,2025/05/16
RZNSN VAT INC,BSS,IN DIR,Internal,INV,TechnoGlobal Industries,6432000,LAV,14320G,7956,407,N70_DEPRECIATION_F,MAJ10_Advertising_F,MIN2071,9828 Other operational expenses & revenue non allocated,MX_839_PL_MXN,MassAllocation,Debit Memos,3,Modern Solutions LLC,USD,BRL,432168.91,809.49,0,167.27,0,2025/01/19,2025/11/01,2025/11/01
YWWXQ NZI INC,DIR,Group EC,Depreciation,AP,Quantum Dynamics Group,9840206,GRU,14620A,7950,409,N30_ENERGY_V,MAJ07_Transportation_V,MIN0505,1460 ISIT BSS Methods & Sales (MS),MX_839_PL_MXN,Recurring,Reclass,36,Optimal Distribution Co,BRL,CAD,677933.09,171.76,0,515.85,0,2025/02/08,2025/03/15,2025/09/17
QTWSP HJM INC,DIR,D1 DAP,Taxes,AP,Meridian Solutions Corp,9860205,PPC,14320G,7950,409,N97_FE_F,MAJ10_Advertising_F,MIN0925,1462 ISIT BSS Production Sytems (PS),MX_589_PL_MXN,MICH_EPW_GLJRNLINTF,GL_Supplier,31,Quality Components Ltd,USD,USD,291757.85,674.68,0,230.46,0,2024/09/16,2025/02/23,2025/07/14
MXAXR WJA INC,IN,EC,Invoices sent,PA,Nexus Enterprise Holdings,6135700,LAV,14660A,7956,567,N94_ENERGY_F,MAJ20_Allocation_MASA_F,MIN2040,1432 ISIT Region Direction,,CLL F189 INTEGRATED RCV,Usage Cost,13,Prime Logistics Partners,CAD,USD,379526.34,14.86,0,895.33,0,2023/09/27,2025/01/10,2025/05/06
BBHZN FJP INC,DIR,SC,Other expenses,GL,Apex Innovations Ltd,6437201,PPC,14562Z,7956,796,N30_ENERGY_V,MAJ09_General_Overhead_V,MIN0915,1466 ISIT BSS Supply Chain (SC),MX_839_PL_MXN,Receivables,GL_Supplier,8,Advanced Systems Group,BRL,MXN,502116.02,903.64,0,345.11,0,2025/07/20,2025/08/28,2025/09/09
TLNUA PFJ INC,DIR,EUX,Telecom Voice,INV,Nexus Enterprise Holdings,6417205,DDD,14600A,7956,415,N11_MASA_F,MAJ20_Cascade_DEPRECIATION_F,MIN0435,1460 ISIT BSS Methods & Sales (MS),BR_414_PL_BRL,Recurring,Labor Cost,11,Essential Services Co,MXN,MXN,355195.83,764.43,0,307.68,0,2023/12/04,2024/09/20,2024/12/23
WUQXC OKV INC,IN,QPO,Depreciation,AP,Nexus Enterprise Holdings,6160000,MTC,98281C,7950,723,N97_FE_F,MAJ05_Maintenance_V,MIN0320,1448 ISIT Infra Transverse operations (GOM),MX_839_PL_MXN,CLL F189 INTEGRATED RCV,Retirement,19,Professional Resources Ltd,USD,USD,410673.91,940.83,0,586.41,0,2023/05/03,2024/09/11,2024/09/25
MVQRE AAD INC,BSS,EUX,Telecom Data,GL,Meridian Solutions Corp,6251000,LAV,14480B,7950,796,N21_FE_V,MAJ10_Advertising_F,MIN2071,1464 ISIT BSS Research & development (RD),MX_839_PL_USD,,GL_Adjustment,14,Dynamic Solutions Group,USD,USD,749214.88,986.5,0,900.24,0,2025/03/17,2025/09/10,2025/10/24
RZNSN VAT INC,DIR,Maestro,Capitalized production (PRIM),PA,Nexus Enterprise Holdings,6182000,MTC,14360B,7956,409,N88_CESSIONS_DORD,MAJ20_Allocation_FE_F,MIN0511,1472 Allocation unpaid intra group invoices by companies from South America,MX_589_PL_MXN,Recurring,GL_Tax,23,Mega Distribution Group,EUR,MXN,814727.45,880.8,0,681.05,0,2024/01/07,2025/05/25,2025/11/01
ZANYB HRW INC,MQ,Infra - Projects,Purchases,AP,TechnoGlobal Industries,6250700,GRU,96500N,7956,511,N11_MASA_F,MAJ06_Utilities_Energy_V,MIN0420,1464 ISIT BSS Research & development (RD),MX_589_PL_MXN,Spreadsheet,Freight,22,Innovation Industries Corp,EUR,USD,44086.16,135.37,0,798.28,0,2025/09/29,2025/10/16,2025/10/27
QXMYB RGJ INC,BSS,Security,Travels,GL,Meridian Solutions Corp,6417204,DDD,14480B,7956,796,N22_FE_F,MAJ08_Industrial_Supplies_V,MIN0910,1466 ISIT BSS Supply Chain (SC),MX_589_PL_MXN,MassAllocation,GL_AutoPrepa,1,Quality First Industries,GBP,CAD,347074.33,406.5,0,118.86,0,2025/04/03,2025/05/24,2025/08/04
QBRLE PFH INC,MQ,MQ,Depreciation,GL,Nexus Enterprise Holdings,6234000,CGR,96501C,7956,511,N88_CESSIONS_DORD,MAJ04_Salary_Labor_F,MIN0505,1458 ISIT BSS Entreprises Services (ES),US_415_PL_USD,CLL F189 INTEGRATED RCV,Freight,11,Mega Solutions LLC,BRL,BRL,660156.76,915.79,0,881.81,0,2024/11/14,2025/03/19,2025/09/07
